driver_id,username,first_name,last_name,email,phone_number,driver_license,city_id,license_plate,password
1,msalazar,Courtney,Frost,janicedaugherty@example.net,+62 (88) 319 3159,913-30-1653,1481,I 6946 QI,ax$8J7IjfT
2,tiffanyshaw,William,Gaines,alexis33@example.com,+62 (86) 736 9440,960-74-5441,7263,O 2947 MF,#2Pi55bqJT
3,wvillarreal,Andrew,Frey,andrew30@example.org,+62 (86) 271 6641,540-99-8521,6598,M 8070 NF,S!8z6TOl&1
4,christinavaughn,Kimberly,Boyle,lauren58@example.net,+62 (86) 317 3438,691-29-2270,9029,Y 9781 IQ,C+%1NOxgME
5,alijennifer,Joseph,Bradford,collinsbonnie@example.net,+62 (87) 817 9840,357-69-2369,3724,P 9821 PY,Yd1(rIogs^
6,yvette78,Cody,Stone,tara91@example.net,+62 (80) 679 2456,526-86-1443,3512,C 3178 ZN,#16qQbLlgn
7,judithhowe,Tim,Chen,janetpowell@example.org,+62 (89) 549 1855,303-39-8560,6325,M 2258 WW,Ns1D2l_Aa!
8,jacqueline42,Angela,Cox,icontreras@example.com,+62 (88) 890 9566,662-33-3452,8553,A 4301 RW,6LY!InMw+@
9,clarkmatthew,Joseph,Moses,julie88@example.org,+62 (85) 335 2170,628-77-7138,1920,I 7839 XC,^Fs#9TiSk^
10,jasonbecker,Denise,Lopez,marywarner@example.org,+62 (87) 927 6119,928-22-8825,6916,F 4743 RZ,_yOKpQTjL0
11,noblekaren,Timothy,Mccormick,nelsonjames@example.net,+62 (81) 485 3692,723-37-1858,5451,L 1368 CS,%jp#1AJuF(
12,martinbrown,Andrew,Johnson,mccarthykerry@example.com,+62 (80) 358 5003,786-91-3669,3436,O 7874 HD,!(3X9&ViA3
13,marshallchristopher,Kenneth,Shelton,heatherjuarez@example.org,+62 (88) 411 7279,647-48-3026,6034,F 2909 YK,^1dQmhIo&1
14,fmullen,Megan,Snyder,mark19@example.net,+62 (85) 123 2517,347-57-8462,6829,S 2644 BM,*3k83F(p_7
15,blackbradley,Jeffrey,Garrett,denniswilliams@example.com,+62 (83) 591 7744,600-64-8558,5663,N 3862 AR,OiPUdj$Y_1
16,elizabethjensen,Leslie,Hendricks,emilyle@example.com,+62 (89) 568 7121,591-20-2018,4596,L 5454 ZO,6^K8CHedxl
17,yturner,Steven,Molina,pgarcia@example.com,+62 (81) 299 4626,304-61-7629,3472,U 8193 BQ,26*Oo31(_M
18,hendersonronald,Bryan,Smith,robertsmith@example.org,+62 (84) 813 8165,815-77-1997,4384,I 5474 US,p&G3Cfj9+G
19,murphyjoseph,Matthew,Barrera,douglashannah@example.com,+62 (87) 138 5129,711-88-9227,4806,P 8052 BI,PQQx#oxK%6
