user_id,username,first_name,last_name,email,phone_number,address,city_id,coordinate,password
1,dodousamah,Uda,Nainggolan,sarah31@example.com,+62 (89) 566 3721,"Gg. Otto Iskandardinata No. 762, Solok",6222,"-2.355974, 135.237959",^nLGIbc@)4
2,aswani28,Galar,Sihotang,isafitri@example.org,+62 (89) 974 7593,"Jl. Cempaka No. 39, Parepare",7024,"-9.834795, 98.263607",5bonX*s0+J
3,suwarnoalmira,Carub,Pratiwi,anggriawanxanana@example.org,+62 (80) 618 9137,"Gang Merdeka No. 460, Pasuruan",7947,"-2.783035, 127.24842",i#1)(CwalI
4,ayuhardiansyah,Gawati,Usamah,hasanahozy@example.org,+62 (82) 657 6784,"Gang Dipenogoro No. 847, Denpasar",7055,"2.968556, 114.473886",P!S18EFfv1
5,pastuti,Kasiyah,Tampubolon,jbudiman@example.net,+62 (82) 776 1236,"Jalan Cempaka No. 0, Jayapura",2627,"-2.736147, 134.358195",@KI+QkK5^8
6,wsamosir,Eja,Puspita,laksmiwatimartaka@example.org,+62 (84) 259 4165,"Gg. K.H. Wahid Hasyim No. 23, Tegal",4351,"-8.863691, 107.240741",Z(&6lL3e_F
7,prasastaempluk,Nova,Puspasari,simbolonrestu@example.org,+62 (81) 972 9601,"Jalan Cikutra Barat No. 5, Lubuklinggau",5272,"3.682315, 126.645606",_uOAA&Eu1c
8,nasyiahlala,Balidin,Sudiati,sihotangrendy@example.net,+62 (83) 679 6062,"Gang Rajawali Timur No. 96, Banjar",5277,"0.364569, 127.581597",c+x94ZM$8h
9,jasmaniprasetyo,Calista,Wahyuni,marsito64@example.net,+62 (81) 372 9902,"Jl. Pacuan Kuda No. 3, Sungai Penuh",4989,"4.208468, 135.035951",#03IJlxq2n
10,oskar62,Galang,Hariyah,sudiatiika@example.com,+62 (86) 201 6882,"Gang S. Parman No. 86, Palopo",8980,"-7.045781, 111.52063",*7z#eASTle
